area,bedrooms,age,price
1360,1,11,220807
1794,2,4,289865
1630,3,34,274394
1595,2,38,261184
2138,3,4,354262
2669,5,38,429085
966,4,19,220749
1738,5,6,328421
830,2,34,164736
1982,4,18,342356
2635,3,13,405875
3419,4,23,515001
630,1,19,132378
2185,4,11,370615
1269,1,1,215331
2891,4,24,449936
2015,1,7,308836
3353,2,25,470160
2933,5,21,471893
1715,3,15,295210
1455,4,1,280655
2824,5,12,460972
1684,3,7,295088
959,3,15,205876
521,1,21,118916
2800,2,19,408493
1247,2,29,214365
3404,5,25,523456
974,2,33,188085
1582,4,32,283199
3058,2,35,432610
2547,5,38,415427
3247,2,26,458937
1475,4,11,277940
2306,1,35,326548
689,5,8,201448
3234,1,14,443183
1062,1,10,188922
2399,1,2,353456
1767,3,9,300240
3379,3,3,499743
2028,1,21,299872
1146,5,26,251768
2568,4,8,410815
3388,4,2,513626
2714,2,6,398462
1797,5,28,327552
2935,3,29,436270
1100,1,26,186092
2863,2,25,414383
2561,4,12,409037
741,3,5,181922
2541,3,34,382676
3324,1,37,447709
3112,4,15,476068
3445,5,36,527210
1863,3,15,313692
2639,1,23,376804
1890,5,6,350988
1978,4,21,337271
3056,3,23,453568
1275,5,16,272846
534,5,15,179067
2753,5,25,443681
2455,3,36,374815
2085,3,11,344165
1521,2,15,255261
3113,4,4,480012
1629,1,21,253654
2000,5,13,355526
1202,2,22,214200
2949,1,19,412086
3277,2,34,456515
2079,3,14,340873
661,5,4,201753
701,1,27,138763
2481,1,29,347109
1495,1,28,231944
2817,1,35,392651
1315,1,8,215193
955,2,16,184974
1775,5,36,319535
1516,3,30,263728
2843,3,18,424291
3267,3,2,489162
837,3,13,187942
1378,2,4,244649
1576,4,26,288774
1291,5,25,268788
2764,1,30,383880
1263,4,11,252361
2735,3,7,417897
879,4,31,199922
992,5,10,244141
1680,1,39,250658
2562,1,13,369784
564,5,31,182998
3068,5,7,486130
1867,3,36,302795
1652,1,20,251868
2527,4,4,407026
3195,2,7,461631
1995,2,1,320439
1662,5,13,320641
2022,3,22,327848
3140,2,21,445866
891,1,22,160402
2198,5,28,374416
918,4,9,219540
2836,5,26,451918
878,4,9,212236
2296,5,15,398948
2778,5,10,454029
2588,5,24,430302
2682,4,8,427958
700,4,24,186464
2363,5,16,404606
1279,2,26,219511
3477,3,27,502064
1002,3,37,202901
2954,3,4,444699
2251,4,24,366650
1304,4,19,260443
2646,2,36,380778
3231,3,39,465620
2395,3,10,381966
3273,5,25,504880
2070,4,18,350220
1460,3,19,260859
3160,2,36,441623
1985,2,10,310674
3190,3,33,461842
1528,4,5,289603
1002,2,35,188230
3314,5,34,509240
897,2,33,172574
1370,1,21,218070
3342,1,17,454599
892,4,22,204381
706,3,37,161555
1538,4,15,287560
2381,4,35,380081
3439,4,28,513063
1984,4,7,348115
1363,5,32,270766
3290,5,11,513667
1063,2,10,205124
1520,1,9,248583
595,4,14,175728
2423,2,13,363166
2257,1,25,326746
3032,3,2,456313
2778,5,35,446971
3296,1,7,453633
2178,3,21,344971
1040,1,18,179042
1559,5,3,311426
3072,5,39,474869
1683,2,11,281327
2222,4,39,362508
2319,1,24,329609
3125,1,19,431099
3229,3,4,485535
3104,5,26,483134
2097,1,38,302184
3193,5,32,492260
1295,1,39,209449
1551,2,36,253700
2143,4,37,354429
1863,1,33,279951
2481,5,36,406735
1854,2,3,296722
2163,1,9,322178
2029,3,8,334932
2538,4,33,404299
1996,1,6,304953
2737,2,39,397210
1908,3,4,324957
1900,2,13,302258
1806,2,2,297511
3180,3,5,479049
3175,2,27,447509
1472,3,32,260108
2268,1,21,324670
1782,3,8,304980
1209,3,38,223889
1979,4,8,345908
1934,3,3,323049
1148,3,3,228732
817,1,22,154908
1757,4,6,319753
1183,5,2,269475
1163,1,23,198396
2498,1,2,365749
2131,5,38,361305
1995,3,17,328739
1636,2,35,263664
2353,4,34,376176
2020,2,23,317188
2989,5,30,470834
1063,1,8,189979
1791,1,22,268056
2136,4,36,350727
3499,1,5,485031
1198,1,13,208053
2660,4,29,415836
501,4,31,155072
1141,5,16,252452
2767,1,30,388596
2089,1,16,309196
1354,5,12,283178
2259,3,17,355226
2932,3,16,445009
2161,3,12,345959
1653,5,8,322890
1576,1,20,245977
2207,5,3,383980
3277,5,16,507222
2195,3,30,351148
2233,2,23,342251
1939,1,28,281618
2794,3,5,423638
1335,2,20,232131
702,2,1,168554
622,4,30,171096
900,1,21,161227
1266,2,20,228415
793,3,6,189386
2827,4,22,440444
3431,1,18,473846
697,5,8,207092
2430,3,39,372416
3299,2,32,461250
2691,2,33,388555
1108,3,16,224577
1647,2,12,269991
686,4,38,181549
3011,1,34,414625
2294,4,14,377514
1159,2,36,208870
3311,5,33,506687
2455,1,23,346707
2950,1,2,422048
1869,3,21,308540
2486,3,2,391250
2034,5,27,359487
646,1,9,137082
3411,5,1,530060
2234,3,11,362138
2343,3,3,371668
988,1,23,172990
3476,4,26,514931
2459,2,4,375018
2163,3,18,352062
3098,3,6,459835
2885,4,35,444884
3419,4,22,515648
1140,5,15,252007
2302,5,22,389400
3020,2,37,423157
2469,2,12,367362
2698,1,38,373321
1938,5,18,351227
2134,3,35,339043
762,5,30,206606
2287,3,24,362769
2691,4,30,421267
